이름,성별,생년월일,우편번호,주소,나이,휴대폰번호,가입일자,가입기간,수신총잔액 ,신용대출한도 ,신용등급,담보대출한도 ,년간환전액
삼래경,F,19711002,010021,부산 연제구 연산동,49,010-5624-5990,2004-07-04,14,746331,22700000,4,45400000,0
주스핑거비,F,19560630,014804,광주 남구 월산동,64,010-4586-0403,2008-02-10,10,14911131,8600000,7,17200000,0
라린영,M,19650419,013931,인천 부평구 청천동,55,010-1515-0071,2003-08-20,14,2236937,8000000,8,16000000,0
강김준현,M,19681022,001869,서울 관악구 신림본동,52,010-6151-2919,2003-01-08,15,422298,8600000,9,17200000,0
연선진이안,F,19490618,024043,경기 안양시 평촌동,71,010-3719-8373,2004-06-26,14,2345585,15400000,6,30800000,0
후총리,M,19491226,026611,경기 화성시 마도면,71,010-5300-4855,2008-01-13,10,8318280,11400000,9,22800000,0
예계자,F,19550327,026830,경기 가평군 설악면,65,010-9028-5171,2004-12-12,13,2491978,474500000,2,949000000,0
궁영분,F,19771011,042649,제주 제주시 일도2동,43,010-3006-0007,2007-04-17,11,632148077,300900000,3,601800000,0
석문훤,M,19461111,020093,경기 고양시 마두2동,74,010-1929-9013,2006-12-27,11,28678206,12300000,8,24600000,0
증유홍,M,19550305,022187,경기 성남시 분당동,65,010-2510-7009,2008-10-22,9,949526665,14000000,3,28000000,0
천아니스바,M,19700111,020336,경기 고양시 풍동,50,010-4518-2815,2006-09-24,11,278545,28800000,8,57600000,126000000
신세라하은,F,19690120,003669,서울 동작구 상도동,51,010-5422-0527,2003-02-10,15,21580948,10800000,6,21600000,0
마숀토마스,M,19680528,020147,경기 고양시 식사동,52,010-7489-8728,2003-11-14,14,761294,8700000,9,17400000,0
함정십,M,19581216,019866,경기 고양시 성사1동,62,010-8412-1115,2008-01-14,10,8384289,763900000,3,1527800000,0
독고루시아나,M,19630809,013901,인천 부평구 십정2동,57,010-3341-6576,2005-04-17,13,23377394,15400000,5,30800000,0
오린지김,F,19650619,005066,서울 송파구 가락동,55,010-1035-2658,2003-10-05,14,528535,31300000,7,62600000,0
창상양,F,19710605,018557,강원 고성군 거진읍,49,010-9272-0597,2008-11-18,9,2921782,240100000,3,480200000,0
한엘리엇진,M,19500125,020278,경기 고양시 주엽2동,70,010-8593-0431,2007-08-02,10,623908,904200000,2,1808400000,0
학이름,F,19580820,007727,부산 금정구 서3동,62,010-7321-0704,2007-09-10,10,25041881,21300000,4,42600000,0
망절대년,F,19740909,020003,경기 고양시 화정동,46,010-7341-0194,2007-03-14,11,20302297,10000000,8,20000000,0
류노엘다원,M,19450514,025326,경기 의정부시 호원동,75,010-1138-4769,2004-05-10,14,9719118,1500000,10,3000000,0
사공다솜이,F,19740306,020184,경기 고양시 일산2동,46,010-9785-1339,2002-12-04,15,3565781,69100000,3,138200000,0
연아론동주,F,19420623,032801,경북 안동시 예안면,78,010-7540-8940,2005-01-19,13,562557,46400000,3,92800000,0
문범무,F,19780406,021528,경기 고양시 백석2동,42,010-9881-8189,2005-02-17,13,543526,24800000,4,49600000,0
장노바,F,19680109,024270,경기 안양시 안양8동,52,010-7771-2329,2006-05-31,12,118163,707000000,1,1414000000,0
왕화무,F,19801203,019386,강원 평창군 미탄면,40,010-2642-5981,2006-11-28,11,446002,6500000,9,13000000,0
위학예,M,19600502,017849,강원 속초시 청호동,60,010-9334-7698,2006-09-26,11,528908,75100000,6,150200000,0
기건의,M,19590210,002055,서울 광진구 자양동,61,010-9712-6313,2007-03-18,11,762031,21200000,8,42400000,0
경조나단찬,F,19600317,022434,경기 성남시 신흥동,60,010-5394-1860,2002-10-19,15,24742451,40000000,3,80000000,0
백은순,M,19510814,004531,서울 성동구 마장동,69,010-4550-3244,2005-04-10,13,741167,27500000,6,55000000,0
교모현,F,19790404,010690,대구 남구 대명9동,41,010-7264-2491,2010-04-30,8,567512,58600000,6,117200000,0
명인종,M,19860120,013407,인천 남동구 간석2동,34,010-4322-1242,2003-06-17,15,290115,9000000,9,18000000,0
설문권,F,19720129,042849,충남 공주시 반죽동,48,010-1395-2450,2010-02-21,8,8681520,27500000,4,55000000,0
갈배겸,F,19641119,020214,경기 고양시 일산4동,56,010-4449-1321,2008-03-24,10,28188776,59300000,3,118600000,0
사가어,M,19790111,046249,충북 청주시 분평동,41,010-3697-7710,2005-03-15,13,573077,255800000,4,511600000,0
조거솔,M,19510608,004106,서울 서대문구 연희3동,69,010-1050-6250,2007-04-28,11,528257,30400000,8,60800000,0
인건임,F,19560714,034458,경북 영덕군 강구면,64,010-7800-4765,2007-05-16,11,306572403,44300000,3,88600000,0
근도시히로,F,19581209,048591,경기 고양시 성석동,62,010-3547-9230,2004-05-12,14,388156,65100000,6,130200000,0
문두진,M,19490731,018598,강원 고성군 토성면,71,010-3682-5539,2001-06-26,17,7162370,24100000,8,48200000,0
돈별셋,F,19840706,001074,서울 강북구 수유1동,36,010-1597-8609,2006-04-26,12,350644,80300000,3,160600000,0
등정뉴마,F,19470905,025028,경기 의왕시 오전동,73,010-3598-8350,2005-04-25,13,406799,842700000,1,1685400000,0
뢰리의,F,19640903,027735,경남 김해시 화목동,56,010-7197-6530,2006-10-19,11,25322841,71700000,3,143400000,0
류히은,F,19510728,025346,경기 안산시 이동,69,010-1908-9537,2009-10-26,8,4462984,110900000,3,221800000,0
내시엘,M,19490917,014039,인천 서구 신현동,71,010-8561-0582,2001-08-24,16,100928,18600000,4,37200000,0
성양문,F,19490930,021103,경기 김포시 감정동,71,010-6499-7517,2005-05-05,13,23873121,12200000,6,24400000,0
엄항선,M,19470110,020093,경기 고양시 마두2동,73,010-6566-2765,2005-11-24,12,267944305,31600000,3,63200000,0
도백보,F,19840530,021758,경기 부천시 괴안동,36,010-7589-0665,2004-03-18,14,162762,180000000,3,360000000,0
묵감모,F,19590827,041696,전북 부안군 변산면,61,010-6493-6268,2005-12-05,12,23393720,9100000,8,18200000,0
사공조나스,F,19730110,014051,인천 서구 심곡동,47,010-4663-1486,2003-07-21,14,346235,355800000,2,711600000,0
미조영연,F,19751225,048580,경기 고양시 마두동,45,010-2443-1719,2001-06-12,17,488732,31500000,5,63000000,0
란진걸,F,19560227,048584,경기 고양시 장항동,64,010-4203-0563,2004-01-24,14,705658,634100000,2,1268200000,0
인권행,F,19741117,029687,경남 고성군 고성읍,46,010-7224-0644,2008-02-27,10,3984405,71500000,3,143000000,0
표최현우,M,19660211,024439,경기 양주시 장흥면,54,010-2696-5421,2005-04-11,13,117950264,69300000,5,138600000,0
전다음,F,19800109,019859,경기 고양시 삼송동,40,010-5655-5288,2006-05-11,12,9198560,382500000,3,765000000,0
제영루나,M,19530227,036776,전남 여수시 봉계동,67,010-8218-4940,2003-07-14,14,311199,43000000,3,86000000,0
궁찬경,F,19411111,020422,경기 광명시 광명3동,79,010-4244-9892,2004-10-07,13,5084893,256900000,4,513800000,0
아광뤼,M,19970126,019877,경기 고양시 성사동,23,010-7398-3851,2003-03-13,15,422135357,1400000,4,2800000,0
주라이토,M,19750820,027433,경남 거제시 옥포2동,45,010-8752-2947,2005-09-12,12,532814,11400000,7,22800000,0
소릴루지아,F,19520106,020214,경기 고양시 일산4동,68,010-2552-7298,2004-04-26,14,488606,62800000,3,125600000,0
시예듬,M,19491224,001074,서울 강북구 수유1동,71,010-9678-9792,2001-05-22,17,13623367,1100000,8,2200000,0
관광욱,F,19561023,032873,경북 영주시 가흥1동,64,010-4332-1373,2004-04-08,14,14588196,3100000,6,6200000,0
유도백,M,19610129,048584,경기 고양시 장항동,59,010-2308-4402,2008-02-16,10,3028170,4500000,9,9000000,0
동근담,F,19410411,016813,울산 동구 전하3동,79,010-4175-8358,2002-11-14,15,7788799,27800000,5,55600000,0
서문수피차,F,19420715,044424,충남 금산군 추부면,78,010-4286-5312,2004-12-06,13,1679274,73400000,4,146800000,0
감황예성,M,19490329,047760,충북 진천군 이월면,71,010-8569-0699,2004-07-26,13,277499,42800000,7,85600000,0
권현예,M,20120507,020326,경기 고양시 탄현동,8,010-8199-7226,2002-06-27,16,691377,4600000,6,9200000,0
송호채,M,19580713,020587,경기 광명시 철산동,62,010-8561-5842,2007-03-17,11,903123,13000000,9,26000000,0
편두송,M,19641227,044004,충남 천안시 성정2동,56,010-2197-1327,2004-02-16,14,551425,2800000,8,5600000,0
교운태양,F,19481211,006075,서울 용산구 이촌1동,72,010-4857-2543,2010-09-26,7,590697,18100000,4,36200000,0
서조단현준,M,19490126,005603,서울 영등포구 당산동5가,71,010-6908-2829,2011-10-26,6,82485,7500000,7,15000000,0
위창업,F,19351231,019913,경기 고양시 토당동,85,010-9301-5767,2006-07-09,12,914357,29100000,4,58200000,0
권스즈,F,19801111,019850,경기 고양시 덕은동,40,010-1906-9795,2003-09-02,14,838139,1300000,7,2600000,0
동방환필,M,19690321,010699,대구 남구 대명9동,51,010-5315-3140,2007-03-26,11,6542911,14500000,7,29000000,0
림은필,F,19751007,011595,대구 북구 고성동1가,45,010-8935-6123,2001-07-04,17,174925,72100000,3,144200000,6300000
려로수,F,19480505,002456,서울 금천구 시흥4동,72,010-4516-7418,2001-07-12,16,283558,46200000,3,92400000,0
용순해,M,19820220,026048,경기 평택시 평택동,38,010-8864-1772,2004-01-30,14,885665,748700000,2,1497400000,0
유리키시우,M,19960615,027468,경남 거제시 신현읍,24,010-8345-4080,2002-05-23,16,46581,3400000,9,6800000,0
문홍음,M,19820310,021704,경기 동두천시 생연2동,38,010-8624-3598,2002-08-22,15,346059,741200000,3,1482400000,0
화유간,M,19511214,005882,서울 영등포구 여의도동,69,010-9813-7257,2004-08-10,13,116826,1100000,10,2200000,0
박앤드류준,F,19540405,005600,서울 영등포구 당산동4가,66,010-4322-1024,2009-05-06,9,560906,4300000,6,8600000,0
부레나마리,F,19731219,001148,서울 강북구 수유동,47,010-1772-7577,2008-03-10,10,5267433,20200000,4,40400000,0
삼준진,M,19470613,006430,서울 은평구 신사동,73,010-5728-8402,2008-06-02,10,880490,18900000,8,37800000,0
빙봄내,M,19541001,022601,경기 수원시 곡반정동,66,010-4467-1436,2004-08-24,13,7582197,15900000,8,31800000,0
옥드미트리,F,19800308,006917,서울 중구 신당2동,40,010-5623-1053,2005-07-27,12,7144546,76900000,3,153800000,0
어니흔,F,19531117,048478,경기 고양시 일산1동,67,010-2055-1705,2003-11-13,14,884829,382000000,2,764000000,8400000
삼묵한,F,19820112,031912,경북 김천시 신음동,38,010-4802-8258,2005-08-18,12,189557,72400000,3,144800000,0
한예향,F,19820205,004734,서울 성북구 돈암동,38,010-9814-9997,2003-01-22,15,7787730,56100000,3,112200000,0
삼주욱,M,19680120,025700,경기 파주시 교하읍,52,010-1398-6146,2008-09-21,9,24656460,17100000,8,34200000,0
육테일러이,F,19840902,006590,서울 종로구 명륜동4가,36,010-3306-9323,2007-12-20,10,944798,33200000,7,66400000,0
후한빈,M,19850216,036296,전남 목포시 하당동,35,010-5274-6407,2003-06-28,15,21748006,3900000,9,7800000,0
신매튜민병,F,19540519,003709,서울 동작구 흑석2동,66,010-6068-8332,2007-01-23,11,6092177,6500000,9,13000000,0
탕지닌,M,19500101,034686,경북 예천군 예천읍,70,010-5785-8825,2004-07-20,13,9656830,10800000,8,21600000,0
다지허,F,19640517,020010,경기 고양시 가좌동,56,010-6188-9761,2003-06-30,15,9501576,46000000,3,92000000,0
안셀린수,M,19771028,013277,인천 남구 주안5동,43,010-5365-7619,2002-11-05,15,7268522,48900000,5,97800000,0
변위황,F,19830403,014282,인천 강화군 강화읍,37,010-5470-7906,2002-07-29,15,107495,1400000,7,2800000,0
남궁율리안나,F,19530513,020278,경기 고양시 주엽2동,67,010-1553-8878,2006-05-25,12,387894,4800000,8,9600000,0
권에릭한승,M,19711031,020694,경기 광주시 실촌읍,49,010-9728-3124,2002-05-27,16,474991,953700000,3,1907400000,0
시바우저우,F,19631006,020218,경기 고양시 일산4동,57,010-3750-1791,2003-09-21,14,993608,28800000,6,57600000,0
번의장,F,19500514,026590,경기 화성시 동탄면,70,010-6402-9588,2002-07-16,15,2828647,730000000,3,1460000000,0
독하온유,M,19441001,046923,충남 천안시 두정동,76,010-6031-9064,2007-07-22,10,802129,19600000,7,39200000,0
복타니앰,F,19721230,004715,서울 성북구 길음동,48,010-1940-9410,2004-03-04,14,541948,26300000,5,52600000,0
라뭇별,F,19570626,025208,경기 의정부시 신곡2동,63,010-4623-5682,2006-07-19,11,6857793,524400000,1,1048800000,0
곽민관,F,19641231,048607,경기 고양시 마두2동 ,56,010-3568-2718,2006-11-16,11,1544141,476500000,2,953000000,0
용장목,F,19590703,025727,경기 파주시 문산읍,61,010-6052-8107,2006-06-27,12,20695451,6700000,5,13400000,0
온선풍,F,19630412,024336,경기 양주시 삼숭동,57,010-3475-0089,2004-06-14,14,1683588,59100000,4,118200000,0
국교울,F,19740711,006257,서울 용산구 후암동,46,010-4512-3768,2004-01-07,14,904398,13600000,5,27200000,0
설다나윤서,F,19360209,026432,경기 하남시 덕풍동,84,010-6861-2468,2008-05-12,10,644303,81100000,5,162200000,0
묵손정,M,19580718,039402,전남 화순군 화순읍,62,010-2234-1139,2004-09-06,13,357535,4200000,9,8400000,0
무이현성,F,19570519,026007,경기 평택시 신장동,63,010-8977-0320,2008-02-24,10,444408,27900000,4,55800000,0
간림걸,F,19600709,000834,서울 강동구 천호1동,60,010-5159-1186,2007-05-07,11,3653415,72800000,6,145600000,136200000
나나송,F,19601205,044584,충남 당진군 신평면,60,010-4285-5309,2002-07-18,15,536680,557200000,1,1114400000,0
풍건지,F,19531128,021222,경기 김포시 양촌면,67,010-4654-2116,2003-01-15,15,950096,15700000,7,31400000,0
묘해솔아,M,19480621,022310,경기 성남시 이매동,72,010-7606-8394,2003-07-11,14,5897976,153100000,3,306200000,0
란혜람,F,19881007,004329,서울 서초구 서초1동,32,010-8733-4441,2006-12-24,11,675473,21200000,8,42400000,0
정황경,M,19701102,014018,인천 서구 석남1동,50,010-2317-7968,2007-04-22,11,13393448,37600000,7,75200000,0
영용환,F,19440110,008255,부산 동구 초량2동,76,010-8536-9225,2005-06-28,13,594837,3100000,6,6200000,0
강생민,M,19550809,041179,전북 정읍시 수성동,65,010-9029-9082,2003-04-24,15,5341959,76100000,4,152200000,0
고주마나,M,19731109,013107,인천 계양구 효성2동,47,010-2277-6827,2002-03-17,16,226484,16400000,8,32800000,0
채아델,M,19390719,013169,인천 남구 숭의2동,81,010-7199-7897,2005-09-27,12,2400961,15200000,9,30400000,0
요후형,F,20100605,048583,경기 고양시 백석동,10,010-3456-1192,2006-05-09,12,660067,8800000,8,17600000,0
나시용,F,19551205,044005,충남 천안시 성정동,65,010-6803-1710,2002-12-09,15,10983123,33400000,4,66800000,0
낭묘화,M,19630609,016270,대전 유성구 장대동,57,010-3259-2436,2003-08-28,14,638234,35400000,6,70800000,0
초일레인현,F,19480907,004443,서울 서초구 양재2동,72,010-8120-4777,2003-04-11,15,300643,2100000,9,4200000,0
화조나리안,F,19420725,014850,광주 남구 진월동,78,010-3530-6500,2007-09-04,10,1335771,40700000,7,81400000,0
추해나정서,F,19660126,020204,경기 고양시 일산3동,54,010-1979-3974,2003-04-10,15,9545074,248800000,2,497600000,0
미로윤,F,19710107,020321,경기 고양시 탄현동,49,010-6568-3285,2004-08-26,13,606837,66100000,3,132200000,0
고성세,M,19660905,019129,강원 정선군 정선읍,54,010-1997-6759,2009-07-06,9,117204,847800000,3,1695600000,0
승지률,M,19781119,022574,경기 성남시 중동,42,010-1554-0510,2011-11-09,6,9218369,3100000,9,6200000,0
간벨라가온,M,19491111,007004,서울 중구 을지로6가,71,010-9257-4317,2006-01-17,12,3812432,2400000,10,4800000,0
목제이든림,M,19660717,020326,경기 고양시 탄현동,54,010-4423-8972,2004-09-01,13,5791623,241500000,3,483000000,0
임간어,M,19530130,005504,서울 양천구 신월7동,67,010-2910-9621,2009-08-30,8,601020,7400000,4,14800000,0
려컬크,F,19370408,016079,대전 서구 둔산동,83,010-1114-6559,2005-11-24,12,149680,17700000,4,35400000,0
노지공,M,19630323,016270,대전 유성구 장대동,57,010-5424-5358,2012-09-04,5,964722,35600000,4,71200000,0
경도니아,M,19510420,013169,인천 남구 숭의2동,69,010-6447-6117,2005-02-28,13,970408,24100000,7,48200000,0
문석문,F,19760206,021955,경기 부천시 상2동,44,010-2400-8837,2004-12-05,13,863985,507300000,1,1014600000,0
송어멘다,F,19770615,005486,서울 양천구 신월4동,43,010-6518-7180,2010-01-05,8,681099,2900000,10,5800000,0
배호흡,F,19561120,013294,인천 남구 주안6동,64,010-5300-4696,2004-06-14,14,443212,2600000,9,5200000,0
다캐런희진,M,19540517,006698,서울 종로구 원남동,66,010-7770-8327,2003-07-07,15,271064,155500000,4,311000000,0
임코타로,F,19750113,005914,서울 영등포구 영등포동8가,45,010-6218-8319,2005-03-29,13,2527980,348000000,2,696000000,0
탄새헌,F,19881116,028733,경남 진주시 상대2동,32,010-5486-2430,2004-01-26,14,19857323,84100000,3,168200000,0
곽다할라,F,19390828,003482,서울 동작구 대방동,81,010-1259-3400,2005-03-16,13,5443251,17700000,6,35400000,1000000
마궉남,F,19610104,019877,경기 고양시 성사동,59,010-9957-3041,2001-08-22,16,849894,24600000,4,49200000,0
총건인,M,19650403,020820,경기 구리시 교문동,55,010-5455-4251,2001-10-15,16,23838013,506300000,3,1012600000,0
내은날,M,19720127,014006,인천 서구 대곡동,48,010-2482-4408,2004-07-03,14,947083486,509600000,2,1019200000,0
설세레나킴,M,19600803,005066,서울 송파구 가락동,60,010-3821-0444,2007-02-13,11,848681,501700000,2,1003400000,0
곽황비엑,F,19720522,022449,경기 성남시 태평1동,48,010-9727-8360,2003-05-15,15,3073817,87500000,3,175000000,0
강엠마나리,M,19740329,020204,경기 고양시 일산3동,46,010-6978-4483,2003-02-25,15,9472544,1200000,8,2400000,0
함권희,F,19510926,000785,서울 강동구 암사2동,69,010-1938-0925,2003-02-10,15,985147,7700000,6,15400000,0
삼다지미,F,19681228,000371,서울 강남구 압구정동,52,010-8103-6836,2002-09-09,15,663379,12700000,5,25400000,0
필군여,F,19410703,038490,전남 완도군 고금면,79,010-7480-0254,2004-11-28,13,4289254,30900000,4,61800000,0
원우돈,M,19410529,002526,서울 노원구 공릉3동,79,010-9346-4865,2003-07-15,14,1766783,26400000,5,52800000,0
유비리,M,19760524,002931,서울 도봉구 도봉동,44,010-9984-4668,2004-05-10,14,973630,707500000,2,1415000000,0
허희교,F,19700905,021865,경기 부천시 고강1동,50,010-8100-8201,2004-07-05,14,10628504,55400000,4,110800000,0
호시아재이,F,19560216,005309,서울 송파구 잠실동,64,010-8736-5925,2002-08-01,15,599497,587200000,1,1174400000,0
육모나미,M,19480321,004594,서울 성동구 송정동,72,010-3293-2766,2004-05-02,14,287860,12600000,7,25200000,0
교윤슬하,M,19650512,027518,경남 거제시 둔덕면,55,010-6694-4872,2001-07-23,16,492013,2600000,9,5200000,0
시다함,M,19530228,003653,서울 동작구 상도4동,67,010-5091-3336,2006-01-26,12,11466002,101000000,6,202000000,0
삼봉국,M,19840226,006425,서울 은평구 신사2동,36,010-9760-5220,2004-06-16,14,443106,587000000,3,1174000000,0
뢰이샤나,F,19470217,003865,서울 마포구 성산1동,73,010-3010-7052,2006-10-29,11,814312,4100000,9,8200000,0
단예유,M,19620304,006893,서울 은평구 진관동,58,010-3669-4929,2008-08-03,9,555881,40500000,7,81000000,0
당택성,F,19440523,021222,경기 김포시 양촌면,76,010-2472-0317,2005-10-27,12,134545,7900000,6,15800000,0
형로영,F,19570601,018180,강원 춘천시 석사동,63,010-4333-1024,2008-01-17,10,18663160,12600000,8,25200000,0
무본건여,F,19660402,013806,인천 부평구 부평동,54,010-5898-2956,2006-04-05,12,487011833,410200000,3,820400000,0
삼령구,M,19600226,026908,경기 양평군 양평읍,60,010-2225-7408,2007-01-08,11,679122,21400000,8,42800000,0
용휘찬,M,19560113,033418,경북 포항시 대도동,64,010-3684-3941,2012-02-21,6,436050,6800000,7,13600000,0
매엔죠제,M,19830114,003934,서울 마포구 연남동,37,010-6876-0627,2005-08-25,12,846858,12000000,5,24000000,0
증서역,F,19550425,030892,경남 합천군 초계면,65,010-9698-2064,2002-12-12,15,91340,1800000,8,3600000,0
하남강,F,19670527,002188,서울 구로구 고척동,53,010-2854-4285,2002-02-18,16,682830317,80600000,2,161200000,0
낭나엘딜런,M,19750820,027433,경남 거제시 옥포2동,45,010-8752-2947,2005-09-12,12,532814,11400000,7,22800000,0
선로라주은,M,19370530,019877,경기 고양시 성사동,83,010-2326-2826,2005-03-17,13,6610940,672300000,3,1344600000,0
금태실,F,19510707,028828,경남 진주시 칠암동,69,010-7356-1148,2005-05-09,13,443832,7000000,6,14000000,0
감유청,F,19651006,006304,서울 은평구 구산동,55,010-5198-9482,2002-01-21,16,24946699,4500000,5,9000000,0
여명곤,M,19590602,003319,서울 동대문구 장안동,61,010-3931-3613,2004-03-12,14,338392,27900000,8,55800000,0
경체상,F,19560707,048439,경기 고양시 풍동,64,010-3218-0486,2010-01-22,8,4569036,390800000,4,781600000,0
돈낙형,M,19731121,020013,경기 고양시 가좌동,47,010-4067-3561,2004-11-03,13,13917861,7700000,8,15400000,0
종설은,F,19740827,006302,서울 은평구 갈현동,46,010-8302-6658,2007-01-10,11,424244,17400000,4,34800000,187600000
다신애,F,19510325,024317,경기 양주시 덕정동,69,010-9883-2234,2003-01-16,15,11692334,6900000,7,13800000,0
마박정후,M,19441230,022527,경기 성남시 상대원1동,76,010-8402-5514,2004-11-29,13,991966,932000000,2,1864000000,0
부새인,M,19450928,004400,서울 서초구 서초4동,75,010-7211-9054,2012-11-06,5,11177609,32800000,4,65600000,0
현너나,M,19710107,013176,인천 남구 숭의3동,49,010-7566-9177,2002-04-15,16,5519851,117100000,3,234200000,0
민예일린,F,19500421,020184,경기 고양시 일산2동,70,010-4049-9301,2004-01-14,14,2947120,346400000,1,692800000,2600000
풍오참,F,19801111,017675,강원 삼척시 도계읍,40,010-1787-2495,2009-02-10,9,114195,7300000,6,14600000,0
마케노라민,F,19751206,003862,서울 마포구 서교동,45,010-4242-2608,2006-08-30,11,278732,2300000,10,4600000,0
낭라밈,M,19690531,007246,서울 중랑구 망우동,51,010-7527-5072,2004-05-21,14,703870,12500000,8,25000000,0
섭창공,F,19710806,025735,경기 파주시 문산읍,49,010-3491-4803,2008-09-10,9,124309,153800000,4,307600000,0
제갈립주,M,20060418,023625,경기 안성시 금석동,14,010-2478-9784,2007-04-08,11,28815961,13200000,7,26400000,0
예아디야최,F,19580607,025628,경기 파주시 금촌2동,62,010-9610-0259,2001-09-12,16,514127,1500000,7,3000000,0
학장진,F,19830129,020326,경기 고양시 탄현동,37,010-4762-7320,2008-12-26,9,349594,2500000,10,5000000,0
민표이,M,19860911,015647,광주 서구 화정동,34,010-4617-8220,2004-04-20,14,28577,882600000,1,1765200000,0
봉매리앤,M,19551112,002787,서울 노원구 중계1동,65,010-9053-5904,2002-10-04,15,125818,845600000,2,1691200000,0
권완,M,19830312,000214,서울 강남구 도곡1동,37,010-4762-1269,2003-11-04,14,312473,41400000,7,82800000,0
매풍수,M,19401119,045226,충남 예산군 예산읍,80,010-5964-6952,2006-02-10,12,76722,42800000,7,85600000,0
예일붕,M,19650513,004401,서울 서초구 서초동,55,010-5579-8860,2010-01-10,8,137003,380500000,3,761000000,0
종섬겨라,M,19700305,006975,서울 중구 오장동,50,010-1480-8254,2004-08-05,13,28640798,6600000,6,13200000,0
전아야네,F,19761209,005066,서울 송파구 가락동,44,010-3507-7444,2005-05-09,13,69693,2100000,10,4200000,0
뇌맑은샘,M,19481012,013574,인천 남동구 만수동,72,010-1454-0994,2008-05-20,10,802498,5000000,9,10000000,0
담미꼬,M,19850305,011318,대구 동구 불로동,35,010-7502-9059,2011-12-11,6,120675,52300000,4,104600000,0
점빈제이든,F,19500502,025690,경기 파주시 교하읍,70,010-3356-5882,2012-06-17,6,5317350,60000000,3,120000000,0
진덕녕,M,19640420,042775,제주 북제주군 한림읍,56,010-2644-2241,2002-09-12,15,582757,3400000,8,6800000,0
전이훙,F,19371004,020578,경기 광명시 철산4동,83,010-6020-9166,2003-04-16,15,9739085,901600000,1,1803200000,0
독겸이,M,19500526,013210,인천 남구 용현3동,70,010-4023-1271,2007-10-11,10,580374515,3700000,4,7400000,0
기새마루,M,19671103,001266,서울 강서구 등촌3동,53,010-5091-3944,2006-11-21,11,120894,22400000,8,44800000,0
려고니,F,19511007,016927,울산 중구 동동,69,010-9278-1582,2001-12-31,16,778513,35800000,4,71600000,0
수애니윤애,M,19580722,020184,경기 고양시 일산2동,62,010-9200-0629,2004-12-02,13,804830,454800000,2,909600000,169800000
곽태흔,M,19530623,046924,충북 보은군 보은읍,67,010-1489-1884,2007-06-11,11,934137,67000000,4,134000000,0
나복양,F,19810705,015833,대전 동구 삼성2동,39,010-6749-5321,2002-10-24,15,277854,178800000,2,357600000,0
제갈규백,F,19580816,022657,경기 수원시 권선동,62,010-6761-8867,2007-02-09,11,886526,1900000,7,3800000,0
부춘아,M,19770508,028848,경남 진주시 평거동,43,010-4024-7525,2007-11-19,10,8852747,21800000,7,43600000,0
목도예,F,19761005,006345,서울 은평구 대조동,44,010-7733-8845,2001-06-20,17,511348,257000000,3,514000000,0
매중걸,M,19550620,014041,인천 서구 신현동,65,010-1109-2453,2003-12-21,14,5520373,769500000,3,1539000000,0
초태황숙,M,19760409,025964,경기 평택시 비전2동,44,010-6933-2843,2007-04-25,11,670027,12300000,7,24600000,0
온보고,M,19601108,004401,서울 서초구 서초동,60,010-5362-0673,2009-12-03,8,447872,24800000,4,49600000,0
지취후,M,19630505,042473,제주 제주시 노형동,57,010-7233-5667,2002-09-09,15,301127,2200000,9,4400000,3600000
무라이링,F,19690821,042402,제주 서귀포시 동홍동,51,010-5168-1345,2006-09-24,11,206865,5900000,6,11800000,0
석니로산,M,19580705,005471,서울 양천구 신월2동,62,010-5667-3624,2010-05-23,8,56049,68000000,6,136000000,0
삼아이얀나,M,19470829,000193,서울 강남구 대치동,73,010-8422-9871,2006-01-02,12,440352,40400000,7,80800000,0
봉에일사,F,19700806,043330,충남 보령시 명천동,50,010-2279-9556,2005-08-29,12,982313,48400000,3,96800000,0
묘흑비,F,19760221,021777,경기 부천시 소사본2동,44,010-1804-8749,2005-05-05,13,759632,23900000,4,47800000,0
두은햇살,M,19800114,022925,경기 수원시 정자동,40,010-9126-5932,2005-09-22,12,293828,250900000,4,501800000,9200000
현넛타인,M,19560629,024439,경기 양주시 장흥면,64,010-5108-3925,2004-09-16,13,5831329,1900000,10,3800000,0
근레아누리,F,19590130,010634,대구 남구 대명3동,61,010-2316-2071,2001-06-18,17,936779,10500000,5,21000000,0
최성해윤,M,19441001,046923,충남 천안시 두정동,76,010-6031-9064,2007-07-22,10,802129,19600000,7,39200000,0
초향조,F,19601011,005066,서울 송파구 가락동,60,010-6445-3230,2001-11-22,16,9427712,71900000,3,143800000,0
음하빕,F,19390820,028587,경남 양산시 명곡동,81,010-8630-5667,2003-10-07,14,130187,19300000,4,38600000,0
박여강,M,19440427,014016,인천 서구 불로동,76,010-3430-8128,2006-05-09,12,7814052,2000000,8,4000000,0
시도억,M,19521027,020152,경기 고양시 식사동,68,010-8542-1125,2002-09-02,15,26040444,38400000,4,76800000,0
김즈위안,M,19890305,048159,경기 고양시 일산2동,31,010-2481-4685,2006-09-18,11,25333659,351800000,3,703600000,0
차이른비,F,19491114,017600,강원 동해시 효가동,71,010-1915-1591,2002-07-27,15,29185879,13600000,3,27200000,0
산문지,F,19550511,020292,경기 고양시 주엽2동,65,010-9279-0012,2005-06-15,13,8057789,10200000,5,20400000,0
려사상,M,19511004,004637,서울 성동구 응봉동,69,010-2737-3160,2005-07-06,13,4531220,3500000,7,7000000,0
